,index,주소,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합,lat,lng
261,524,서울특별시 마포구 서강동,4198,5725,2500,3212,6698,8937,37.5480085,126.9324192
262,525,서울특별시 마포구 서교동,63487,30671,40389,19078,103876,49749,37.5534897,126.9177304
263,526,서울특별시 마포구 성산1동,4173,10614,1754,6972,5927,17586,37.5632282,126.9078651
264,527,서울특별시 마포구 성산2동,10400,12891,4356,7339,14756,20230,37.5657426,126.9033058
265,528,서울특별시 마포구 성산동,5316,7675,2304,4600,7620,12275,37.5657426,126.9033058
266,529,서울특별시 마포구 신공덕동,911,1436,359,769,1270,2205,37.54459170000001,126.9557029
267,530,서울특별시 마포구 신수동,2588,4160,1281,2414,3869,6574,37.54684170000001,126.934558
268,531,서울특별시 마포구 아현동,12818,14591,6755,8197,19573,22788,37.5541171,126.9569379
269,532,서울특별시 마포구 연남동,4209,3564,1665,2232,5874,5796,37.5644783,126.9220027
270,533,서울특별시 마포구 염리동,2874,3908,950,1987,3824,5895,37.5496169,126.9476266
271,534,서울특별시 마포구 용강동,1403,1698,791,1120,2194,2818,37.5417874,126.9416684
272,535,서울특별시 마포구 중동,339,1620,145,976,484,2596,37.5725438,126.9048389
273,536,서울특별시 마포구 창전동,681,1557,292,818,973,2375,37.5501124,126.9309867
274,537,서울특별시 마포구 하중동,83,99,39,56,122,155,37.5429708,126.9277011
275,538,서울특별시 마포구 합정동,7475,5003,4791,2915,12266,7918,37.5463089,126.9101219
276,539,서울특별시 서대문구 남가좌1동,3761,5545,2282,3545,6043,9090,37.574005,126.9133923
277,540,서울특별시 서대문구 남가좌2동,3110,9460,1575,5952,4685,15412,37.5784486,126.9237802
278,541,서울특별시 서대문구 남가좌동,6375,16740,3093,11947,9468,28687,37.5743455,126.9188972
279,542,서울특별시 서대문구 냉천동,189,60,107,56,296,116,37.5668216,126.962263
280,543,서울특별시 서대문구 대신동,1588,4378,736,2304,2324,6682,37.5677894,126.9488821
281,544,서울특별시 서대문구 대현동,12654,13212,6925,7772,19579,20984,37.5606558,126.9465796
